subject,questionNo,chapter,oldConcept,newConcept,changed,matchingBasis,questionSnippet,exampleSnippet,answerLeakCheck,reviewNote
sql,20,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,"다음 요구사항에 맞는 SQL문을 쓰시오. 요구사항 주문내역 테이블에서 주문수량이 5 이하인 데이터의 상품명과 주문수량을 조회한다. 출력 열은 상품명 , 주문수량 순서로 작성한다. [주문내역] 주문번호 상품명 주문수량 주문일 1 볼펜 3 2026-01-10 2 공책 7 2026-01-10 3 지우개 5 2026-01-11","SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,21,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 부서가 영업부 이고 급여가 300 이상인 사원의 이름을 조회하는 SQL문을 쓰시오. [사원] 사원번호 이름 부서 급여 1 김한울 영업부 310 2 박지후 영업부 280 3 최시연 인사부 330,SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,22,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 지역이 서울 또는 경기 인 회원의 이름과 지역을 조회하는 SQL문을 쓰시오. [회원] 회원번호 이름 지역 1 김나연 서울 2 이주원 경기 3 박민재 부산,SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,23,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,다음 SQL문의 빈칸에 들어갈 알맞은 비교 연산자를 쓰시오. SELECT 이름 FROM 회원 WHERE 지역 ( ) '부산'; 조건: 지역이 부산이 아닌 회원만 조회한다.,SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,24,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [주문] 주문번호 고객명 배송메모 1 김다은 문 앞 2 이수현 NULL 3 박성민 경비실 SELECT 고객명 FROM 주문 WHERE 배송메모 IS NULL;",SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,25,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,다음 SQL문을 완성하시오. SELECT 이름 FROM 사원 WHERE 부서 = '개발부' ( ) 급여 >= 350; 조건: 개발부이거나 급여가 350 이상인 사원을 조회한다.,SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,26,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [학생] 이름 전공 장학금 한지민 컴퓨터 Y 서민우 전자 N 정유나 컴퓨터 N SELECT 이름 FROM 학생 WHERE 전공 = '컴퓨터' AND 장학금 = 'Y';",SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,27,제3장 AND / OR / NOT / NULL 처리,제약조건,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 지역이 NULL이 아닌 거래처의 상호명을 조회하는 SQL문을 쓰시오. [거래처] 거래처코드 상호명 지역 C01 미래상사 서울 C02 대성유통 NULL C03 하나무역 인천,SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,28,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,"회원 테이블에서 지역 이 서울 이 아닌 회원의 이름 을 조회하는 SQL문을 쓰시오. [테이블 구조] 테이블명 필드 회원 회원번호, 이름, 지역",SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,29,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,다음 요구사항에 맞는 SQL문을 쓰시오. 요구사항 사원 테이블에서 부서가 총무부 이고 직급이 대리 인 사원의 이름을 조회한다. [사원] 이름 부서 직급 강민성 총무부 대리 이다연 총무부 사원 최윤호 회계부 대리,SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,30,제3장 AND / OR / NOT / NULL 처리,논리 조건과 NULL,AND OR NOT NULL 조건,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [회원] 이름 지역 김하린 서울 박지훈 경기 서예은 서울 SELECT 이름 FROM 회원 WHERE 지역 = '서울' OR 지역 = '경기';",SELECT 도서명 FROM 도서 WHERE 분류 = 'IT' AND 폐기일 IS NULL; -- 여러 조건을 함께 적용합니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,31,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,다음 SQL문의 괄호에 들어갈 알맞은 와일드카드 패턴을 쓰시오. SELECT 이름 FROM 회원 WHERE 이름 LIKE '( )'; 조건: 성이 김씨이고 이름이 총 3글자인 회원만 조회한다.,SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,32,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 상품명이 노트 로 시작하는 상품을 조회하는 SQL문을 쓰시오. [상품] 상품명 가격 노트북 1200000 노트패드 3000 무선노트 5000,SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,33,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [사원] 이름 김민수 박민정 최민호 SELECT 이름 FROM 사원 WHERE 이름 LIKE '%민%';",SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,34,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문은 학번이 4자리이고 1번째 글자는 2, 3번째 글자는 2인 학생을 조회한다. 빈칸에 들어갈 패턴을 쓰시오. SELECT 학번 FROM 학생 WHERE 학번 LIKE '( )';",SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,35,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,"다음 요구사항에 맞는 SQL문을 쓰시오. [테이블 구조] 테이블명 필드 회원 회원번호, 이름, 전화번호 요구사항 회원 테이블에서 전화번호 가 010 으로 시작하는 회원의 이름 과 전화번호 를 조회한다.",SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,36,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,다음 SQL문의 괄호에 들어갈 알맞은 와일드카드 패턴을 쓰시오. SELECT 사원번호 FROM 직원 WHERE 사원번호 LIKE '( )'; 조건: 총 6글자이다. 2번째 글자는 2 이다. 마지막 글자는 A 이다.,SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,37,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [도서] 도서명 SQL입문 SQL실전 파이썬입문 SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'SQL%';",SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,38,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,"회원 테이블에서 이름 이 민 으로 끝나는 회원의 이름을 조회하는 SQL문을 쓰시오. [테이블 구조] 테이블명 필드 회원 회원번호, 이름",SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,39,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 이메일에 naver.com 이 포함된 회원의 이메일을 조회하는 SQL문을 쓰시오. [회원] 이름 이메일 김도윤 a@naver.com 이다은 b@gmail.com 박서진 c@naver.com,SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,40,제4장 LIKE / 와일드카드 / 문자열 패턴,LIKE와 문자열 패턴,LIKE 와일드카드 패턴,Y,SQL 절/장/키워드 기준 매칭,다음 SQL문의 괄호에 들어갈 와일드카드를 쓰시오. SELECT 이름 FROM 회원 WHERE 이름 LIKE '( )'; 조건: 이름이 정확히 두 글자인 회원만 조회한다.,SELECT 도서명 FROM 도서 WHERE 도서명 LIKE 'AI%'; -- 특정 글자로 시작하는 값을 찾습니다.,N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,41,제5장 ORDER BY / 기본 집계함수,ORDER BY와 집계,ORDER BY와 집계 함수,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 상품명을 가격이 높은 순으로 조회하는 SQL문을 쓰시오. [상품] 상품명 가격 키보드 30000 모니터 200000 마우스 15000,"SELECT 지역, COUNT(*) FROM 교육장 GROUP BY 지역 ORDER BY COUNT(*) DESC; -- 그룹별 개수를 정렬합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,42,제5장 ORDER BY / 기본 집계함수,ORDER BY와 집계,ORDER BY와 집계 함수,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [학생] 이름 점수 김하늘 80 박지민 95 이서준 70 SELECT 이름, 점수 FROM 학생 ORDER BY 점수 ASC;","SELECT 지역, COUNT(*) FROM 교육장 GROUP BY 지역 ORDER BY COUNT(*) DESC; -- 그룹별 개수를 정렬합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,43,제5장 ORDER BY / 기본 집계함수,서브쿼리,ORDER BY와 집계 함수,Y,SQL 절/장/키워드 기준 매칭,다음 테이블의 전체 행 수를 구하는 SQL문을 쓰시오. [사원] 사원번호 이름 1 김민수 2 박서연 3 이도윤,"SELECT 지역, COUNT(*) FROM 교육장 GROUP BY 지역 ORDER BY COUNT(*) DESC; -- 그룹별 개수를 정렬합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
